miteorigin,sp,year,bl,sex,origin,bodysize,Species,num,hunum,invnum,intnum,sum,p,vesp,hup,invp,intp,newcomp,totalp
G,inv,2017,15,m,T,6.1,inv,2,0,2,2,9,0.222222222,0.555555556,0,0.222222222,0.222222222,1,0.9
G,int,2017,16,m,T,5.85,inv,1,0,1,5,10,0.1,0.4,0,0.1,0.5,0,1
G,int,2017,17,m,T,6.13,inv,0,0,0,5,10,0,0.5,0,0,0.5,0,1
G,int,2017,18,m,T,6.09,inv,0,2,0,2,10,0,0.6,0.2,0,0.2,0,1
G,int,2017,19,f,T,5.5,inv,0,0,0,7,10,0,0.3,0,0,0.7,0,1
G,int,2017,20,f,T,6.36,inv,1,1,1,4,9,0.111111111,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,21,m,T,5.68,inv,2,6,2,1,9,0.222222222,0,0.666666667,0.222222222,0.111111111,0,0.9
G,hu,2017,22,m,T,5.05,inv,0,5,0,2,10,0,0.3,0.5,0,0.2,0,1
G,hu,2017,23,m,T,5.83,inv,0,2,0,5,10,0,0.3,0.2,0,0.5,0,1
G,hu,2017,24,f,T,6.87,inv,0,2,0,4,10,0,0.4,0.2,0,0.4,0,1
G,hu,2017,25,f,G,6.03,inv,0,1,0,5,6,0,0,0.166666667,0,0.833333333,0,0.6
G,hu,2017,26,m,T,5.72,inv,1,1,1,4,9,0.111111111,0.333333333,0.111111111,0.111111111,0.444444444,0,0.9
G,hu,2017,27,m,T,5.49,inv,0,5,0,3,10,0,0.2,0.5,0,0.3,0,1
G,hu,2017,28,f,G,6.86,inv,0,8,0,2,10,0,0,0.8,0,0.2,0,1
G,hu,2017,29,f,T,5.5,inv,0,5,0,3,8,0,0,0.625,0,0.375,0,0.8
G,hu,2017,30,f,T,5.72,inv,1,3,1,5,10,0.1,0.1,0.3,0.1,0.5,0,1
W,inv,2017,31,m,G,6.79,inv,0,0,0,8,9,0,0.111111111,0,0,0.888888889,1,0.9
W,inv,2017,32,m,T,5.19,inv,0,0,0,10,10,0,0,0,0,1,1,1
W,inv,2017,33,m,G,6.21,inv,0,0,0,0,10,0,1,0,0,0,1,1
W,inv,2017,35,f,T,6.58,inv,3,2,3,1,9,0.333333333,0.333333333,0.222222222,0.333333333,0.111111111,1,0.9
