wt,bl,beetle,mite,male,female,msize,fsize,mmite,fmite,mitenum,logmitenum,broodsize,broodmass,yield,density,clutchsize
16.25,1,G,C,22,,4.88,4.33,,,,,21,3.4052,0.162152381,1.292307692,14
15.26,1,G,C,18,,5.02,4.96,,,,,17,1.967,0.115705882,1.114023591,0
20.89,1,G,C,11,,5.07,4.84,,,,,13,2.8797,0.221515385,0.622307324,15
16.16,1,G,C,14,,4.84,4.77,,,,,10,1.7602,0.17602,0.618811881,10
16.55,1,G,C,16,,5.3,5.08,,,,,22,3.7714,0.171427273,1.329305136,0
16.72,1,G,C,2,,5.01,5.08,,,,,26,3.8096,0.146523077,1.555023923,12
16.52,1,G,C,44,,5.26,4.6,,,,,17,2.9553,0.173841176,1.02905569,16
20.82,1,G,C,23,,4.59,5.61,,,,,18,3.1045,0.172472222,0.864553314,23
16.22,1,G,C,31,,5.07,4.62,,,,,20,3.7445,0.187225,1.233045623,12
16.12,1,W,C,,,5.19,5.4,,,,,28,4.1281,0.147432143,1.736972705,22
16.32,1,W,C,,,5.09,5.02,,,,,25,3.9428,0.157712,1.531862745,39
16.98,1,W,C,,,4.72,4.82,,,,,19,3.1625,0.166447368,1.118963486,19
15.32,1,W,C,,,4.84,5.32,,,,,17,3.2275,0.189852941,1.109660574,17
15.72,1,W,C,,,5.1,5.12,,,,,19,2.764,0.145473684,1.208651399,26
15.08,1,W,C,,,5.24,4.57,,,,,22,3.3745,0.153386364,1.458885942,14
16.78,1,W,C,,,4.58,4.5,,,,,20,3,0.15,1.191895113,8
14.27,1,W,C,,,4.45,4.96,,,,,17,3.1365,0.1845,1.191310441,13
16.24,1,W,C,,,4.61,5.15,,,,,14,2.5148,0.179628571,0.862068966,35
15.49,1,W,C,,,5.26,4.66,,,,,21,3.52,0.167619048,1.355713363,9
16.82,1,W,C,,,5.73,4.77,,,,,26,3.6938,0.142069231,1.545778835,35
16.97,1,W,C,,,4.51,5.16,,,,,10,1.9156,0.19156,0.589275192,28
16.72,1,W,C,,,4.8,5.08,,,,,28,3.8604,0.137871429,1.674641148,22
17.13,1,W,C,,,5.55,5.07,,,,,19,3.6487,0.192036842,1.109165207,16
16,1,W,C,,,4.5,4.79,,,,,27,3.6408,0.134844444,1.6875,8
16.49,1,W,C,,,5.12,4.36,,,,,19,2.4844,0.130757895,1.152213463,22
15.93,1,W,C,,,4.94,5.58,,,,,22,2.8029,0.127404545,1.381042059,26
15.03,1,W,C,,,5.21,4.74,,,,,23,3.4675,0.15076087,1.530272788,32
15.98,1,W,C,,,4.59,5.04,,,,,17,3.3959,0.199758824,1.063829787,22
14.73,1,W,C,,,5.51,4.65,,,,,13,2.8804,0.221569231,0.882552614,15
15.09,1,W,C,,,5.45,5.29,,,,,19,2.6807,0.141089474,1.259111995,7
16.16,1,W,C,,,4.09,4.93,,,,,19,3.2102,0.168957895,1.175742574,12
17.51,1,W,C,,,5.42,5.1,,,,,13,2.3856,0.183507692,0.742432895,6
17.14,1,W,C,,,4.63,4.68,,,,,11,1.814,0.164909091,0.641773629,26
15.05,1,W,C,,,4.54,5.09,,,,,22,2.9971,0.136231818,1.46179402,26
17.41,1,W,C,,,5.09,4.7,,,,,28,4.0615,0.145053571,1.608271109,20
16.88,1,W,C,,,5.1,4.98,,,,,16,3.0885,0.19303125,0.947867299,11
17.49,1,W,C,,,4.71,5.17,,,,,23,3.9801,0.173047826,1.315037164,31
16.44,1,W,C,,,5.34,5.5,,,,,23,3.457,0.150304348,1.399026764,28
16.81,1,W,C,,,5.05,4.07,,,,,8,1.4725,0.1840625,0.475907198,14
15.88,1,W,C,,,5.5,5.04,,,,,28,3.8922,0.139007143,1.763224181,32
